fold,scenario,detector,t_fit_scaler_s,t_deteccao_s,t_extracao_treino_s,t_extracao_teste_s,t_total_extracao_s,n_train_samples,n_test_samples,t_por_amostra_treino_ms,t_por_amostra_teste_ms,t_catch22_extracao_unica_s
1,drift,PageHinkley,0.0372954718768596,2.3695350904017687,1.1264127753674984,0.1018237601965665,3.635067097842693,237736,21477,0.0047380824753823,0.0047410606787058,0.0
2,drift,PageHinkley,0.0144383758306503,2.3538075797259808,1.1003291327506304,0.1142852678894996,3.582860356196761,235158,24055,0.0046791056768242,0.0047509984572645,0.0
3,drift,PageHinkley,0.0151145830750465,2.3648064620792866,1.1034541316330433,0.11840445920825,3.6017796359956264,233990,25223,0.0047158174778112,0.004694305166247,0.0
4,drift,PageHinkley,0.0212915241718292,2.3510907404124737,1.1088607851415873,0.1050191596150398,3.58626220934093,236895,22318,0.0046808112671925,0.004705581128015,0.0
5,drift,PageHinkley,0.0144643560051918,2.3361491542309523,1.116970108821988,0.1131958775222301,3.5807794965803623,235865,23348,0.0047356331326054,0.004848204451012,0.0
6,drift,PageHinkley,0.0146553721278905,2.341343423351645,1.1105696763843298,0.109379444271326,3.575947916135192,236031,23182,0.0047051856594444,0.0047182919623555,0.0
7,drift,PageHinkley,0.0170991364866495,2.3502793200314045,1.1210751291364431,0.1017721481621265,3.590225733816624,237807,21406,0.0047142225802286,0.0047543748557472,0.0
8,drift,PageHinkley,0.0139735769480466,2.344031073153019,1.0953480247408152,0.1183193959295749,3.571672070771456,233961,25252,0.0046817547571638,0.0046855455381583,0.0
9,drift,PageHinkley,0.0143206920474767,2.3505012840032578,1.1118173990398643,0.1076910234987735,3.5843303985893726,236352,22861,0.0047040744272943,0.0047106873495811,0.0
10,drift,PageHinkley,0.0138859972357749,2.3423992972821,1.0641469396650791,0.1511405985802412,3.571572832763195,227197,32016,0.0046838071790784,0.0047207833139755,0.0
0,catch24_drift,SEED,0.0364449582993984,12.575273049995303,1.6192180905491114,0.1138821300119161,14.344818228855727,238429,17817,0.006791196081639,0.0063917679750752,1510.561004197225
1,catch24_drift,SEED,0.0355807356536388,12.6326894313097,1.5169359743595123,0.1481122598052024,14.333318401128054,235027,21219,0.0064543051409391,0.0069801715351902,1510.561004197225
2,catch24_drift,SEED,0.0330147482454776,12.58048571459949,1.4255393501371143,0.1518370546400547,14.190876867622135,232449,23797,0.0061326972804232,0.006380512444428,1510.561004197225
3,catch24_drift,SEED,0.0324783604592084,12.544233532622457,1.487900160253048,0.1566424407064914,14.221254494041204,231281,24965,0.0064333004451426,0.0062744819029237,1510.561004197225
4,catch24_drift,SEED,0.0341538656502962,12.587616831064224,1.4458687398582697,0.1426539048552513,14.21029334142804,234186,22060,0.0061740186853965,0.0064666321330576,1510.561004197225
5,catch24_drift,SEED,0.0385687015950679,12.557500574737787,1.4552106074988842,0.153179332613945,14.204459216445684,233156,23090,0.0062413603231265,0.0066340118065805,1510.561004197225
6,catch24_drift,SEED,0.0342119019478559,12.642209904268384,1.4455775264650583,0.1428278759121894,14.264827208593488,233322,22924,0.0061956331870336,0.0062304953721946,1510.561004197225
7,catch24_drift,SEED,0.0341044161468744,12.541214367374778,1.4638335816562176,0.1330264266580343,14.172178791835904,235098,21148,0.0062264824951986,0.0062902603867048,1510.561004197225
8,catch24_drift,SEED,0.0336313061416149,12.60358746536076,1.445971755310893,0.161911292001605,14.245101818814874,231252,24994,0.0062527967555346,0.0064780064016005,1510.561004197225
9,catch24_drift,SEED,0.0355852209031581,12.529425060376523,1.4290130399167538,0.1405346356332302,14.134557956829669,233643,22603,0.0061162244959906,0.0062175213747392,1510.561004197225
10,catch24_drift,SEED,0.0320790205150842,12.54473765566945,1.380824076011777,0.1948690712451934,14.152509823441504,224617,31629,0.006147460236811,0.0061610885973376,1510.561004197225
