dataset,cenario,detector,tipo,n,rank_no_tipo,feature,mdi
pamap2_hand,catch24_drift,HDDMAverage,catch,13,1,hand_acc16_x__mean,0.051113
pamap2_hand,catch24_drift,HDDMAverage,catch,13,2,hand_acc6_x__mean,0.042048
pamap2_hand,catch24_drift,HDDMAverage,catch,13,3,hand_mag_x__mean,0.030445
pamap2_hand,catch24_drift,HDDMAverage,catch,13,4,hand_gyro_z__SD,0.022273
pamap2_hand,catch24_drift,HDDMAverage,catch,13,5,hand_acc6_z__mean,0.018428
pamap2_hand,catch24_drift,HDDMAverage,catch,13,6,hand_mag_y__low_freq_power,0.014287
pamap2_hand,catch24_drift,HDDMAverage,catch,13,7,hand_mag_y__mean,0.013913
pamap2_hand,catch24_drift,HDDMAverage,catch,13,8,hand_acc16_z__mean,0.012448
pamap2_hand,catch24_drift,HDDMAverage,catch,13,9,hand_acc6_x__SD,0.011079
pamap2_hand,catch24_drift,HDDMAverage,catch,13,10,hand_temperature__mean,0.009902
pamap2_hand,catch24_drift,HDDMAverage,catch,13,11,hand_gyro_x__mean,0.0094
pamap2_hand,catch24_drift,HDDMAverage,catch,13,12,hand_acc16_x__SD,0.009214
pamap2_hand,catch24_drift,HDDMAverage,catch,13,13,hand_acc16_y__SD,0.009113
pamap2_hand,catch24_drift,HDDMAverage,original,13,1,hand_mag_x,0.022665
pamap2_hand,catch24_drift,HDDMAverage,original,13,2,hand_acc16_x,0.022631
pamap2_hand,catch24_drift,HDDMAverage,original,13,3,hand_acc6_x,0.022133
pamap2_hand,catch24_drift,HDDMAverage,original,13,4,hand_temperature,0.00972
pamap2_hand,catch24_drift,HDDMAverage,original,13,5,hand_mag_y,0.009719
pamap2_hand,catch24_drift,HDDMAverage,original,13,6,hand_acc16_z,0.008519
pamap2_hand,catch24_drift,HDDMAverage,original,13,7,hand_mag_z,0.007822
pamap2_hand,catch24_drift,HDDMAverage,original,13,8,hand_acc6_z,0.005569
pamap2_hand,catch24_drift,HDDMAverage,original,13,9,hand_acc6_y,0.003988
pamap2_hand,catch24_drift,HDDMAverage,original,13,10,hand_acc16_y,0.002647
pamap2_hand,catch24_drift,HDDMAverage,original,13,11,hand_gyro_z,2e-06
pamap2_hand,catch24_drift,HDDMAverage,original,13,12,hand_gyro_x,0.0
pamap2_hand,catch24_drift,HDDMAverage,original,13,13,hand_gyro_y,0.0
pamap2_chest,catch24,,catch,1,1,chest_mag_y__mean,0.041877
pamap2_chest,drift,GeometricMovingAverage,score,13,1,score_chest_acc16_y,0.161661
pamap2_chest,drift,GeometricMovingAverage,score,13,2,score_chest_acc6_z,0.143016
pamap2_chest,drift,GeometricMovingAverage,score,13,3,score_chest_acc6_y,0.137802
pamap2_chest,drift,GeometricMovingAverage,score,13,4,score_chest_acc16_z,0.13239
pamap2_chest,drift,GeometricMovingAverage,score,13,5,score_chest_mag_z,0.102976
pamap2_chest,drift,GeometricMovingAverage,score,13,6,score_chest_gyro_y,0.095198
