fold,scenario,detector,t_fit_scaler_s,t_deteccao_s,t_extracao_treino_s,t_extracao_teste_s,t_total_extracao_s,n_train_samples,n_test_samples,t_por_amostra_treino_ms,t_por_amostra_teste_ms,t_catch22_extracao_unica_s
6,catch24,,0.0,0.0,0.0093727055937051,0.0013134460896253,0.0106861516833305,21848,3237,0.0004289960451164,0.0004057602995444,73.35897647030652
7,catch24,,0.0,0.0,0.0150249395519495,0.0013714171946048,0.0163963567465543,22475,2610,0.000668517888852,0.000525447200998,73.35897647030652
8,catch24,,0.0,0.0,0.0176790691912174,0.0015707444399595,0.0192498136311769,22684,2401,0.0007793629514731,0.0006542042648727,73.35897647030652
9,catch24,,0.0,0.0,0.0191629994660615,0.0022753775119781,0.0214383769780397,22141,2944,0.0008654983725243,0.0007728863831447,73.35897647030652
10,catch24,,0.0,0.0,0.0096104480326175,0.0015127044171094,0.011123152449727,21758,3327,0.0004416972163166,0.0004546752080281,73.35897647030652
0,drift,ADWIN,0.0033528972417116,0.7612686883658171,0.10130519233644,0.0184532646089792,0.884380042552948,21762,4304,0.0046551416384725,0.0042874685429784,0.0
1,drift,ADWIN,0.0029447432607412,0.763659443706274,0.0969344191253185,0.0236501973122358,0.8871888034045696,20429,5637,0.0047449419514082,0.0041955290601802,0.0
2,drift,ADWIN,0.0029161777347326,0.7601569443941116,0.0958385299891233,0.0294919814914464,0.8884036336094141,19033,7033,0.0050353874843231,0.0041933714618863,0.0
3,drift,ADWIN,0.0033968314528465,0.768477413803339,0.105072321370244,0.0156257878988981,0.8925723545253277,23328,2738,0.0045041290024967,0.0057070079981366,0.0
4,drift,ADWIN,0.0045011006295681,0.7683062329888344,0.108009522780776,0.0144177339971065,0.8952345903962851,23537,2529,0.0045889247899382,0.0057009624346012,0.0
5,drift,ADWIN,0.0031618103384971,0.768602991476655,0.1088374964892864,0.0170594304800033,0.897661728784442,22994,3072,0.0047332998386225,0.0055532000260427,0.0
6,drift,ADWIN,0.003162020817399,0.7606318686157465,0.1033729296177625,0.0180837325751781,0.8852505516260862,22611,3455,0.0045717982228898,0.0052340759986043,0.0
7,drift,ADWIN,0.0041273720562458,0.7617448680102825,0.1048861257731914,0.0156746748834848,0.8864330407232046,23238,2828,0.0045135607958168,0.0055426714580922,0.0
8,drift,ADWIN,0.0035471282899379,0.7655821200460196,0.1057554464787244,0.0148096848279237,0.8896943796426058,23447,2619,0.0045104041659369,0.0056547097472026,0.0
9,drift,ADWIN,0.0033707786351442,0.7690089792013168,0.1053621675819158,0.0170758478343486,0.8948177732527256,22904,3162,0.0046001644944951,0.0054003313834119,0.0
10,drift,ADWIN,0.0031593684107065,0.7687115948647261,0.1035017892718315,0.018208609893918,0.8935813624411821,22521,3545,0.0045957901190813,0.0051364202803718,0.0
0,catch24_drift,ADWIN,0.0046543311327695,0.7632890027016401,0.1321784351021051,0.0278513971716165,0.9279731661081314,20890,4195,0.0063273544807135,0.0066391888370957,73.49780611507595
1,catch24_drift,ADWIN,0.0030545331537723,0.7604879941791296,0.1126086078584194,0.0278091412037611,0.9039602763950824,19557,5528,0.0057579694154737,0.0050305971786832,73.49780611507595
2,catch24_drift,ADWIN,0.0029668807983398,0.7617853060364723,0.1045199446380138,0.0350672472268343,0.9043393786996604,18161,6924,0.0057551866437979,0.0050645937647074,73.49780611507595
3,catch24_drift,ADWIN,0.0038799960166215,0.7620331738144159,0.1434232536703348,0.0177752431482076,0.92711166664958,22565,2520,0.0063560050374622,0.0070536679159554,73.49780611507595
4,catch24_drift,ADWIN,0.0031958222389221,0.7709866929799318,0.1350493542850017,0.0170674640685319,0.9262993335723876,22774,2311,0.005929979550584,0.0073853154775127,73.49780611507595
5,catch24_drift,ADWIN,0.0032286494970321,0.7658833470195532,0.1239901762455701,0.0183752533048391,0.9114774260669948,22231,2854,0.0055773548758746,0.0064384209197053,73.49780611507595
6,catch24_drift,ADWIN,0.0031900964677333,0.7679055463522673,0.122731763869524,0.0201010461896657,0.9139284528791904,21848,3237,0.0056175285549946,0.0062097763947067,73.49780611507595
7,catch24_drift,ADWIN,0.0034465566277503,0.7661909312009811,0.1274564266204834,0.0174484513700008,0.9145423658192158,22475,2610,0.005671031217819,0.006685230409962,73.49780611507595
8,catch24_drift,ADWIN,0.0031776633113622,0.7678007837384939,0.1305571980774402,0.0166456196457147,0.9181812647730112,22684,2401,0.005755475140074,0.006932786191468,73.49780611507595
9,catch24_drift,ADWIN,0.0038214679807424,0.7691409792751074,0.1325190551578998,0.0190839394927024,0.9245654419064522,22141,2944,0.0059852335105866,0.0064823164037712,73.49780611507595
10,catch24_drift,ADWIN,0.0035212878137826,0.7697034161537886,0.1346933711320161,0.0212607011198997,0.9291787762194872,21758,3327,0.0061905216992378,0.006390352004779,73.49780611507595
